mois,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
janvier,100,311,250,409,619,"1,371","2,242","1,286","3,059","10,954","6,469"
fevrier,136,406,648,411,"1,084","1,889","2,271","1,949","2,879","9,452","8,425"
mars,248,483,"1,350",709,"1,174","2,749","2,889","4,047","4,614","5,510","15,592"
avril,187,395,940,821,"1,726","2,109","1,474","1,894","3,222","1,218","9,598"
mai,143,564,688,902,"1,067","1,829","1,900","2,018","2,736","4,111","11,555"
juin,141,112,903,"1,050","2,336","2,378","2,773","3,166","4,497","13,727","20,862"
juillet,64,594,492,743,"1,299","1,065","1,510","1,734","3,078","9,941","7,524"
aout,108,960,403,366,717,919,"1,266","1,604","2,092","5,591","9,911"
septembre,301,514,644,"1,514","1,731","1,769","2,432","2,614","4,201","10,015","16,990"
octobre,202,763,"1,058","1,076","1,757","1,543","1,748","2,861","4,382","10,045","15,582"
novembre ,466,330,694,911,"1,508","1,298","1,673","3,541","3,201","9,601","16,420"
decembre ,530,231,709,"1,643","2,222","2,819","2,726","4,355","4,803","20,734","23,168"
total,"2,626","5,663","8,779","10,555","17,240","21,738","24,904","31,069","42,764","110,899","162,096"