id,type_energie,type_voiture,annee,valeur
1,Gazole,particulier,2011,0
2,Gazole hybride non rechargeable,particulier,2011,0
3,Gazole hybride rechargeable,particulier,2011,0
4,Essence,particulier,2011,0
5,Essence hybride non rechargeable,particulier,2011,0
6,Essence hybride rechargeable,particulier,2011,0
7,Electrique et hydrogene,particulier,2011,0
8,Gaz,particulier,2011,0
9,Inconnu,particulier,2011,0
10,Gazole,entreprise,2011,0
11,Gazole hybride non rechargeable,entreprise,2011,0
12,Gazole hybride rechargeable,entreprise,2011,0
13,Essence,entreprise,2011,0
14,Essence hybride non rechargeable,entreprise,2011,0
15,Essence hybride rechargeable,entreprise,2011,0
16,Electrique et hydrogene,entreprise,2011,0
17,Gaz,entreprise,2011,0
18,Inconnu,entreprise,2011,0
19,Gazole,transport commun,2011,0
20,Gazole hybride non rechargeable,transport commun,2011,0
21,Gazole hybride rechargeable,transport commun,2011,0
22,Essence,transport commun,2011,0
23,Essence hybride non rechargeable,transport commun,2011,0
24,Electrique et hydrogene,transport commun,2011,0
25,Gaz,transport commun,2011,0
26,Inconnu,transport commun,2011,0
27,Gazole,particulier,2012,21654866
28,Gazole hybride non rechargeable,particulier,2012,584
29,Gazole hybride rechargeable,particulier,2012,104
30,Essence,particulier,2012,13345276
31,Essence hybride non rechargeable,particulier,2012,11003
32,Essence hybride rechargeable,particulier,2012,27918
33,Electrique et hydrogene,particulier,2012,4292
34,Gaz,particulier,2012,204735
35,Inconnu,particulier,2012,3853
36,Gazole,entreprise,2012,1754721
37,Gazole hybride non rechargeable,entreprise,2012,582
38,Gazole hybride rechargeable,entreprise,2012,99
39,Essence,entreprise,2012,441193
40,Essence hybride non rechargeable,entreprise,2012,1931
41,Essence hybride rechargeable,entreprise,2012,7286
42,Electrique et hydrogene,entreprise,2012,3487
43,Gaz,entreprise,2012,12949
44,Inconnu,entreprise,2012,122
45,Gazole,transport commun,2012,0
46,Gazole hybride non rechargeable,transport commun,2012,0
47,Gazole hybride rechargeable,transport commun,2012,0
48,Essence,transport commun,2012,0
49,Essence hybride non rechargeable,transport commun,2012,0
50,Electrique et hydrogene,transport commun,2012,0
51,Gaz,transport commun,2012,0
52,Inconnu,transport commun,2012,0
53,Gazole,particulier,2013,22255893
54,Gazole hybride non rechargeable,particulier,2013,9124
55,Gazole hybride rechargeable,particulier,2013,266
56,Essence,particulier,2013,13006654
57,Essence hybride non rechargeable,particulier,2013,25117
58,Essence hybride rechargeable,particulier,2013,30434
59,Electrique et hydrogene,particulier,2013,9493
60,Gaz,particulier,2013,190682
61,Inconnu,particulier,2013,4065
62,Gazole,entreprise,2013,1789120
63,Gazole hybride non rechargeable,entreprise,2013,4950
64,Gazole hybride rechargeable,entreprise,2013,118
65,Essence,entreprise,2013,411225
66,Essence hybride non rechargeable,entreprise,2013,5640
67,Essence hybride rechargeable,entreprise,2013,6355
68,Electrique et hydrogene,entreprise,2013,6325
69,Gaz,entreprise,2013,11972
70,Inconnu,entreprise,2013,114
71,Gazole,transport commun,2013,0
72,Gazole hybride non rechargeable,transport commun,2013,0
73,Gazole hybride rechargeable,transport commun,2013,0
74,Essence,transport commun,2013,0
75,Essence hybride non rechargeable,transport commun,2013,0
76,Electrique et hydrogene,transport commun,2013,0
77,Gaz,transport commun,2013,0
78,Inconnu,transport commun,2013,0
79,Gazole,particulier,2014,22807569
80,Gazole hybride non rechargeable,particulier,2014,22538
81,Gazole hybride rechargeable,particulier,2014,520
82,Essence,particulier,2014,12856477
83,Essence hybride non rechargeable,particulier,2014,57666
84,Essence hybride rechargeable,particulier,2014,29937
85,Electrique et hydrogene,particulier,2014,17144
86,Gaz,particulier,2014,184752
87,Inconnu,particulier,2014,4001
88,Gazole,entreprise,2014,1826577
89,Gazole hybride non rechargeable,entreprise,2014,10919
90,Gazole hybride rechargeable,entreprise,2014,264
91,Essence,entreprise,2014,410417
92,Essence hybride non rechargeable,entreprise,2014,13434
93,Essence hybride rechargeable,entreprise,2014,5229
94,Electrique et hydrogene,entreprise,2014,10121
95,Gaz,entreprise,2014,10983
96,Inconnu,entreprise,2014,132
97,Gazole,transport commun,2014,87603
98,Gazole hybride non rechargeable,transport commun,2014,209
99,Gazole hybride rechargeable,transport commun,2014,120
100,Essence,transport commun,2014,31
101,Essence hybride non rechargeable,transport commun,2014,0
102,Electrique et hydrogene,transport commun,2014,271
103,Gaz,transport commun,2014,2642
104,Inconnu,transport commun,2014,94
105,Gazole,particulier,2015,23297792
106,Gazole hybride non rechargeable,particulier,2015,32413
107,Gazole hybride rechargeable,particulier,2015,559
108,Essence,particulier,2015,12858899
109,Essence hybride non rechargeable,particulier,2015,89227
110,Essence hybride rechargeable,particulier,2015,31064
111,Electrique et hydrogene,particulier,2015,25883
112,Gaz,particulier,2015,176462
113,Inconnu,particulier,2015,4073
114,Gazole,entreprise,2015,1855413
115,Gazole hybride non rechargeable,entreprise,2015,14633
116,Gazole hybride rechargeable,entreprise,2015,272
117,Essence,entreprise,2015,431832
118,Essence hybride non rechargeable,entreprise,2015,20939
119,Essence hybride rechargeable,entreprise,2015,4944
120,Electrique et hydrogene,entreprise,2015,14564
121,Gaz,entreprise,2015,10209
122,Inconnu,entreprise,2015,146
123,Gazole,transport commun,2015,88088
124,Gazole hybride non rechargeable,transport commun,2015,263
125,Gazole hybride rechargeable,transport commun,2015,75
126,Essence,transport commun,2015,23
127,Essence hybride non rechargeable,transport commun,2015,0
128,Electrique et hydrogene,transport commun,2015,292
129,Gaz,transport commun,2015,2604
130,Inconnu,transport commun,2015,95
131,Gazole,particulier,2016,23595636
132,Gazole hybride non rechargeable,particulier,2016,50886
133,Gazole hybride rechargeable,particulier,2016,591
134,Essence,particulier,2016,13035734
135,Essence hybride non rechargeable,particulier,2016,123970
136,Essence hybride rechargeable,particulier,2016,35731
137,Electrique et hydrogene,particulier,2016,41735
138,Gaz,particulier,2016,172259
139,Inconnu,particulier,2016,4156
140,Gazole,entreprise,2016,1907412
141,Gazole hybride non rechargeable,entreprise,2016,23311
142,Gazole hybride rechargeable,entreprise,2016,280
143,Essence,entreprise,2016,472284
144,Essence hybride non rechargeable,entreprise,2016,28653
145,Essence hybride rechargeable,entreprise,2016,6562
146,Electrique et hydrogene,entreprise,2016,18862
147,Gaz,entreprise,2016,9397
148,Inconnu,entreprise,2016,162
149,Gazole,transport commun,2016,87779
150,Gazole hybride non rechargeable,transport commun,2016,581
151,Gazole hybride rechargeable,transport commun,2016,69
152,Essence,transport commun,2016,13
153,Essence hybride non rechargeable,transport commun,2016,0
154,Electrique et hydrogene,transport commun,2016,314
155,Gaz,transport commun,2016,2648
156,Inconnu,transport commun,2016,88
157,Gazole,particulier,2017,23738794
158,Gazole hybride non rechargeable,particulier,2017,54713
159,Gazole hybride rechargeable,particulier,2017,770
160,Essence,particulier,2017,13351438
161,Essence hybride non rechargeable,particulier,2017,167821
162,Essence hybride rechargeable,particulier,2017,42158
163,Electrique et hydrogene,particulier,2017,61106
164,Gaz,particulier,2017,165686
165,Inconnu,particulier,2017,4238
166,Gazole,entreprise,2017,1965945
167,Gazole hybride non rechargeable,entreprise,2017,20369
168,Gazole hybride rechargeable,entreprise,2017,422
169,Essence,entreprise,2017,552898
170,Essence hybride non rechargeable,entreprise,2017,38303
171,Essence hybride rechargeable,entreprise,2017,10201
172,Electrique et hydrogene,entreprise,2017,24823
173,Gaz,entreprise,2017,8888
174,Inconnu,entreprise,2017,188
175,Gazole,transport commun,2017,88412
176,Gazole hybride non rechargeable,transport commun,2017,1194
177,Gazole hybride rechargeable,transport commun,2017,69
178,Essence,transport commun,2017,6
179,Essence hybride non rechargeable,transport commun,2017,0
180,Electrique et hydrogene,transport commun,2017,368
181,Gaz,transport commun,2017,2715
182,Inconnu,transport commun,2017,84
183,Gazole,particulier,2018,23681770
184,Gazole hybride non rechargeable,particulier,2018,54776
185,Gazole hybride rechargeable,particulier,2018,1027
186,Essence,particulier,2018,13815763
187,Essence hybride non rechargeable,particulier,2018,234000
188,Essence hybride rechargeable,particulier,2018,53208
189,Electrique et hydrogene,particulier,2018,82306
190,Gaz,particulier,2018,159528
191,Inconnu,particulier,2018,4208
192,Gazole,entreprise,2018,2028804
193,Gazole hybride non rechargeable,entreprise,2018,16597
194,Gazole hybride rechargeable,entreprise,2018,568
195,Essence,entreprise,2018,633317
196,Essence hybride non rechargeable,entreprise,2018,47259
197,Essence hybride rechargeable,entreprise,2018,16296
198,Electrique et hydrogene,entreprise,2018,31830
199,Gaz,entreprise,2018,8273
200,Inconnu,entreprise,2018,206
201,Gazole,transport commun,2018,88970
202,Gazole hybride non rechargeable,transport commun,2018,1418
203,Gazole hybride rechargeable,transport commun,2018,69
204,Essence,transport commun,2018,1
205,Essence hybride non rechargeable,transport commun,2018,0
206,Electrique et hydrogene,transport commun,2018,443
207,Gaz,transport commun,2018,2819
208,Inconnu,transport commun,2018,81
209,Gazole,particulier,2019,23178814
210,Gazole hybride non rechargeable,particulier,2019,55706
211,Gazole hybride rechargeable,particulier,2019,1225
212,Essence,particulier,2019,14367508
213,Essence hybride non rechargeable,particulier,2019,320798
214,Essence hybride rechargeable,particulier,2019,66661
215,Electrique et hydrogene,particulier,2019,106332
216,Gaz,particulier,2019,152650
217,Inconnu,particulier,2019,4157
218,Gazole,entreprise,2019,2015293
219,Gazole hybride non rechargeable,entreprise,2019,13538
220,Gazole hybride rechargeable,entreprise,2019,695
221,Essence,entreprise,2019,755670
222,Essence hybride non rechargeable,entreprise,2019,61639
223,Essence hybride rechargeable,entreprise,2019,23402
224,Electrique et hydrogene,entreprise,2019,42195
225,Gaz,entreprise,2019,7705
226,Inconnu,entreprise,2019,208
227,Gazole,transport commun,2019,88592
228,Gazole hybride non rechargeable,transport commun,2019,1683
229,Gazole hybride rechargeable,transport commun,2019,74
230,Essence,transport commun,2019,1
231,Essence hybride non rechargeable,transport commun,2019,0
232,Electrique et hydrogene,transport commun,2019,525
233,Gaz,transport commun,2019,2946
234,Inconnu,transport commun,2019,74
235,Gazole,particulier,2020,22621240
236,Gazole hybride non rechargeable,particulier,2020,64692
237,Gazole hybride rechargeable,particulier,2020,1873
238,Essence,particulier,2020,14993713
239,Essence hybride non rechargeable,particulier,2020,411888
240,Essence hybride rechargeable,particulier,2020,82822
241,Electrique et hydrogene,particulier,2020,140871
242,Gaz,particulier,2020,146111
243,Inconnu,particulier,2020,3980
244,Gazole,entreprise,2020,1920454
245,Gazole hybride non rechargeable,entreprise,2020,15726
246,Gazole hybride rechargeable,entreprise,2020,1243
247,Essence,entreprise,2020,934082
248,Essence hybride non rechargeable,entreprise,2020,83349
249,Essence hybride rechargeable,entreprise,2020,32529
250,Electrique et hydrogene,entreprise,2020,53365
251,Gaz,entreprise,2020,7196
252,Inconnu,entreprise,2020,197
253,Gazole,transport commun,2020,88421
254,Gazole hybride non rechargeable,transport commun,2020,1857
255,Gazole hybride rechargeable,transport commun,2020,72
256,Essence,transport commun,2020,15
257,Essence hybride non rechargeable,transport commun,2020,1
258,Electrique et hydrogene,transport commun,2020,789
259,Gaz,transport commun,2020,3285
260,Inconnu,transport commun,2020,66
261,Gazole,particulier,2021,21941256
262,Gazole hybride non rechargeable,particulier,2021,87269
263,Gazole hybride rechargeable,particulier,2021,4054
264,Essence,particulier,2021,15201479
265,Essence hybride non rechargeable,particulier,2021,556651
266,Essence hybride rechargeable,particulier,2021,153392
267,Electrique et hydrogene,particulier,2021,244863
268,Gaz,particulier,2021,153769
269,Inconnu,particulier,2021,3533
270,Gazole,entreprise,2021,1788881
271,Gazole hybride non rechargeable,entreprise,2021,24008
272,Gazole hybride rechargeable,entreprise,2021,2769
273,Essence,entreprise,2021,879868
274,Essence hybride non rechargeable,entreprise,2021,119617
275,Essence hybride rechargeable,entreprise,2021,74549
276,Electrique et hydrogene,entreprise,2021,90409
277,Gaz,entreprise,2021,8751
278,Inconnu,entreprise,2021,166
279,Gazole,transport commun,2021,86142
280,Gazole hybride non rechargeable,transport commun,2021,2188
281,Gazole hybride rechargeable,transport commun,2021,73
282,Essence,transport commun,2021,15
283,Essence hybride non rechargeable,transport commun,2021,2
284,Electrique et hydrogene,transport commun,2021,938
285,Gaz,transport commun,2021,4080
286,Inconnu,transport commun,2021,67
